,Units,scenario,region,fuel,Year,value
0,EJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,a oil,1990,0.719223
1,EJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,a oil,2005,1.18855
2,EJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,a oil,2010,1.3494
3,EJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,a oil,2015,1.7949564
4,EJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,a oil,2020,2.3003679
5,EJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,a oil,2025,2.788699
6,EJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,a oil,2030,3.3508430000000002
7,EJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,a oil,2035,3.9820290000000003
8,EJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,a oil,2040,4.766951
9,EJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,a oil,2045,5.739235
10,EJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,a oil,2050,7.04582
11,EJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,a oil,2055,8.66089
12,EJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,a oil,2060,10.57625
13,EJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,a oil,2065,12.56375
14,EJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,a oil,2070,14.514
15,EJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,a oil,2075,16.28118
16,EJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,a oil,2080,17.867150000000002
17,EJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,a oil,2085,19.46049
18,EJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,a oil,2090,21.08414
19,EJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,a oil,2095,22.75972
20,EJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,a oil,2100,24.52095
21,EJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,b natural gas,1975,0.00539993
22,EJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,b natural gas,1990,0.1407329
23,EJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,b natural gas,2005,0.469809
24,EJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,b natural gas,2010,0.50095
25,EJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,b natural gas,2015,0.7914656720000001
26,EJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,b natural gas,2020,1.2491324000000001
27,EJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,b natural gas,2025,1.779406
28,EJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,b natural gas,2030,2.660444
29,EJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,b natural gas,2035,3.859497
30,EJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,b natural gas,2040,5.48587
31,EJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,b natural gas,2045,7.748380000000001
32,EJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,b natural gas,2050,10.7148
33,EJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,b natural gas,2055,14.151440000000001
34,EJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,b natural gas,2060,18.15914
